entityId,name,description
Q183,Germanz,"Germany (German: Deutschland, German pronunciation: [ˈdɔʏtʃlant]), officially the Federal Republic of Germany (German: Bundesrepublik Deutschland, listen ), is a country in Central and Western Europe, lying between the Baltic and North Seas to the north and the Alps, Lake Constance and the High Rhine to the south. It borders Denmark to the north, Poland and the Czech Republic to the east, Austria and Switzerland to the south, France to the southwest, and Luxembourg, Belgium and the Netherlands to the west.Germany includes 16 constituent states, covers an area of 357,386 square kilometres (137,988 sq mi), and has a largely temperate seasonal climate. With 83 million inhabitants, it is the second most populous state of Europe after Russia, the most populous state lying entirely in Europe, as well as the most populous member state of the European Union. Germany is a very decentralised country. Its capital and largest metropolis is Berlin, while Frankfurt serves as its financial capital and has the country's busiest airport. Germany's largest urban area is the Ruhr, with its main centres of Dortmund and Essen. The country's other major cities are Hamburg, Munich, Cologne, Stuttgart, Düsseldorf, Leipzig, Bremen, Dresden, Hanover, and Nuremberg.Various Germanic tribes have inhabited the northern parts of modern Germany since classical antiquity. A region named Germania was documented before AD 100. During the Migration Period, the Germanic tribes expanded southward. Beginning in the 10th century, German territories formed a central part of the Holy Roman Empire. During the 16th century, northern German regions became the centre of the Protestant Reformation. After the collapse of the Holy Roman Empire, the German Confederation was formed in 1815. The German revolutions of 1848–49 resulted in the Frankfurt Parliament establishing major democratic rights.In 1871, Germany became a nation state when most of the German states unified (except Switzerland and Austria) into the Prussian-dominated German Empire. After World War I and the revolution of 1918–19, the Empire was replaced by the parliamentary Weimar Republic. The Nazi seizure of power in 1933 led to the establishment of a dictatorship, the annexation of Austria, World War II, and the Holocaust. After the end of World War II in Europe and a period of Allied occupation, Austria was re-established as an independent country and two new German states were founded: West Germany, formed from the American, British, and French occupation zones, and East Germany, formed from the Soviet occupation zone. About a quarter of Germany's pre-war territory was annexed by Poland and the Soviet Union leading to the expulsion of Germans. Following the Revolutions of 1989 that ended communist rule in Central and Eastern Europe, the country was reunified on 3 October 1990.Today, the sovereign state of Germany is a federal parliamentary republic led by a chancellor. It is a great power with a strong economy; it has the world's fourth-largest economy by nominal GDP, and the fifth-largest by PPP. As a global leader in several industrial and technological sectors, it is both the world's third-largest exporter and importer of goods. As a highly developed country with a very high standard of living, it upholds a social security and universal health care system, environmental protection, and a tuition-free university education.The Federal Republic of Germany was a founding member of the European Economic Community in 1957 and the European Union in 1993. It is part of the Schengen Area and became a co-founder of the Eurozone in 1999. Germany is a member of the United Nations, NATO, the G7, the G20, and the OECD. Known for its rich cultural history, Germany has been continuously the home of influential and successful artists, philosophers, writers, musicians, film people, sportspeople, entrepreneurs, scientists, engineers, and inventors. Germany has a large number of World Heritage sites and is among the top tourism destinations in the world."
Q183945,music production (music industry),"A record producer or music producer oversees and manages the sound recording and production of a band or performer's music, which may range from recording one song to recording a lengthy concept album. A producer has many, varying roles during the recording process. They may gather musical ideas for the project, collaborate with the artists to select cover tunes or original songs by the artist/group, work with artists and help them to improve their songs, lyrics or arrangements.A producer may also:Select session musicians to play rhythm section accompaniment parts or solosCo-writePropose changes to the song arrangementsCoach the singers and musicians in the studioThe producer typically supervises the entire process from preproduction, through to the sound recording and mixing stages, and, in some cases, all the way to the audio mastering stage. The producer may perform these roles themselves, or help select the engineer, and provide suggestions to the engineer. The producer may also pay session musicians and engineers and ensure that the entire project is completed within the record label's budget."
Q184644,music academy,
Q185441,List of European Union member states by area,"The European Union (EU) consists of 28 member states. Each member state is party to the founding treaties of the union and thereby subject to the privileges and obligations of membership. Unlike members of most international organisations, the member states of the EU are subjected to binding laws in exchange for representation within the common legislative and judicial institutions. Member states must agree unanimously for the EU to adopt policies concerning defence and foreign policy. Subsidiarity is a founding principle of the EU.In 1957, six core states founded the EU's predecessor, the European Economic Community (Belgium, France, Italy, Luxembourg, the Netherlands, and West Germany). The remaining states have acceded in subsequent enlargements. On 1 July 2013, Croatia became the newest member state of the EU. To accede, a state must fulfill the economic and political requirements known as the Copenhagen criteria, which require a candidate to have a democratic, free-market government together with the corresponding freedoms and institutions, and respect for the rule of law. Enlargement of the Union is also contingent upon the consent of all existing members and the candidate's adoption of the existing body of EU law, known as the acquis communautaire.There is disparity in the size, wealth, and political system of member states, but all have de jure equal rights.  In practice, certain states are considerably more influential than others. While in some areas majority voting takes place where larger states have more votes than smaller ones, smaller states have disproportional representation compared to their population.No member state has withdrawn or been suspended from the EU, though some dependent territories or semi-autonomous areas have left. In June 2016, the United Kingdom held a referendum on membership of the EU, resulting in 51.89% of votes cast, being in favour of leaving. The UK government invoked Article 50 on 29 March 2017 to formally initiate the withdrawal process."
Q188451,styles of music,"A music genre is a conventional category that identifies some pieces of music as belonging to a shared tradition or set of conventions. It is to be distinguished from musical form and musical style, although in practice these terms are sometimes used interchangeably. Recently, academics have argued that categorizing music by genre is inaccurate and outdated.Music can be divided into different genres in many different ways. The artistic nature of music means that these classifications are often subjective and controversial, and some genres may overlap. There are even varying academic definitions of the term genre itself. In his book Form in Tonal Music, Douglass M. Green distinguishes between genre and form. He lists madrigal, motet, canzona, ricercar, and dance as examples of genres from the Renaissance period. To further clarify the meaning of genre, Green writes, ""Beethoven's Op. 61 and Mendelssohn's Op. 64 are identical in genre – both are violin concertos – but different in form. However, Mozart's Rondo for Piano, K. 511, and the Agnus Dei from his Mass, K. 317 are quite different in genre but happen to be similar in form."" Some, like Peter van der Merwe, treat the terms genre and style as the same, saying that genre should be defined as pieces of music that share a certain style or ""basic musical language."" Others, such as Allan F. Moore, state that genre and style are two separate terms, and that secondary characteristics such as subject matter can also differentiate between genres. A music genre or subgenre may also be defined by the musical techniques, the style, the cultural context, and the content and spirit of the themes. Geographical origin is sometimes used to identify a music genre, though a single geographical category will often include a wide variety of subgenres. Timothy Laurie argues that since the early 1980s, ""genre has graduated from being a subset of popular music studies to being an almost ubiquitous framework for constituting and evaluating musical research objects"".Among the criteria often used to classify musical genres are the trichotomy of art, popular, and traditional musics.Alternatively, music can be divided on three variables: arousal, valence, and depth. Arousal reflects the energy level of the music; valence reflects the scale from sad to happy emotions, and depth reflects the level of emotional depth in the music. These three variables help explain why many people like similar songs from different traditionally segregated genres.Musicologists have sometimes classified music according to a trichotomic distinction such as Philip Tagg's ""axiomatic triangle consisting of 'folk', 'art' and 'popular' musics"". He explains that each of these three is distinguishable from the others according to certain criteria."
Q1914881,ilgın,"Ilgın is a town and district of Konya Province in the Central Anatolia region of Turkey. According to 2000 census, population of the district is 75,681 of which 26,698 live in the town of Hadim."
Q1917775,music publisher (popular music),"In the music industry, a music publisher (or publishing company) is responsible for ensuring the songwriters and composers receive payment when their compositions are used commercially. Through an agreement called a publishing contract, a songwriter or composer ""assigns"" the copyright of their composition to a publishing company. In return, the company licenses compositions, helps monitor where compositions are used, collects royalties and distributes them to the composers. They also secure commissions for music and promote existing compositions to recording artists, film and television.The copyrights owned and administered by publishing companies are one of the most important forms of intellectual property in the music industry. (The other is the copyright on a master recording which is typically owned by a record company) Publishing companies play a central role in managing this vital asset."
Q1939197,Türkü,
Q200250,metro polis,"A metropolis () is a large city or conurbation which is a significant economic, political, and cultural center for a country or region, and an important hub for regional or international connections, commerce, and communications. The term is Ancient Greek (μητρόπολις) and means the ""mother city"" of a colony (in the ancient sense), that is, the city which sent out settlers. This was later generalized to a city regarded as a center of a specified activity, or any large, important city in a nation.A big city belonging to a larger urban agglomeration, but which is not the core of that agglomeration, is not generally considered a metropolis but a part of it. The plural of the word is metropolises, although the Latin plural is metropoles, from the Greek metropoleis (μητρoπόλεις).For urban centers outside metropolitan areas that generate a similar attraction at smaller scale for their region, the concept of the regiopolis (""regio"" for short) was introduced by German academics in 2006."
Q208511,Global Cities,"A global city, also called a power city, world city, alpha city or world center, is a city which is a primary node in the global economic network. The concept comes from geography and urban studies, and the idea that globalization is created, facilitated, and enacted in strategic geographic locales according to a hierarchy of importance to the operation of the global system of finance and trade.The most complex node is the ""global city"", with links binding it to other cities having a direct and tangible effect on global socio-economic affairs. The term ""megacity"" entered common use in the late 19th or early 20th centuries; one of the earliest documented uses of the term was by the University of Texas in 1904. Initially, the United Nations used the term to describe cities of 8 million or more inhabitants, but now uses the threshold of 10 million.The term ""global city"", rather than ""megacity"", was popularized by sociologist Saskia Sassen in her 1991 work, The Global City: New York, London, Tokyo. ""World city"", meaning a city heavily involved in global trade, appeared in the May 1886 description of Liverpool, by The Illustrated London News. Patrick Geddes later used the term ""world city"" in 1915. More recently, the term has focused on a city's financial power and high technology infrastructure, with other factors becoming less relevant."
Q22721,government regions of germany,"A Regierungsbezirk (pronounced [ʁeˈɡiːʁʊŋsbəˌtsɪɐ̯k], often abbreviated to Reg.-Bez.) is a type of administrative division in Germany. Regierungsbezirke serve as regional mid-level local government units in four of Germany's sixteen federal states: Baden-Württemberg, Bavaria, Hesse, and North Rhine-Westphalia. Each of the nineteen Regierungsbezirke features a non-legislative governing body called a Regierungspräsidium or Bezirksregierung (district government) headed by a Regierungspräsident (district president), concerned mostly with administrative decisions on a local level for districts within its jurisdiction."
Q2277,Imperial Roman,"The Roman Empire (Latin: Imperium Rōmānum, Classical Latin: [ɪmˈpɛ.ri.ũː roːˈmaː.nũː]; Koine Greek: Βασιλεία τῶν Ῥωμαίων, tr. Basileia tōn Rhōmaiōn) was the post-Republican period of ancient Rome, consisting of large territorial holdings around the Mediterranean sea in Europe, North Africa and West Asia ruled by emperors. From the accession of Caesar Augustus to the military anarchy of the third century, it was a principate with Italy as metropole of the provinces and its city of Rome as sole capital (27 BC – 286 AD). The Roman Empire was then ruled by multiple emperors and divided in a Western Roman Empire, based in Milan and later Ravenna, and an Eastern Roman Empire, based in Nicomedia and later Constantinople. Rome remained the nominal capital of both parts until 476 AD, when it sent the imperial insignia to Constantinople (Byzantium in Ancient Greek) following the capture of Ravenna by the barbarians of Odoacer and the subsequent deposition of Romulus Augustus. The fall of the Western Roman Empire to Germanic kings, along with the hellenization of the Eastern Roman Empire into the Byzantine Empire, is conventionally used to mark the end of Ancient Rome and the beginning of the Middle Ages.The previous Roman Republic, which had replaced Rome's monarchy in the 6th century BC, became severely destabilized in a series of civil wars and political conflict. In the mid-1st century BC Julius Caesar was appointed as perpetual dictator and then assassinated in 44 BC. Civil wars and proscriptions continued, culminating in the victory of Octavian, Caesar's adopted son, over Mark Antony and Cleopatra at the Battle of Actium in 31 BC. The following year Octavian conquered Ptolemaic Egypt, ending the Hellenistic period that had begun with the conquests of Alexander the Great of Macedon in the 4th century BC. Octavian's power was then unassailable and in 27 BC the Roman Senate formally granted him overarching power and the new title Augustus, effectively making him the first emperor.The first two centuries of the Empire were a period of unprecedented stability and prosperity known as the Pax Romana (""Roman Peace""). It reached its greatest territorial expanse during the reign of Trajan (98–117 AD). A period of increasing trouble and decline began with the reign of Commodus. In the 3rd century, the Empire underwent a crisis that threatened its existence, but was reunified under Aurelian. In an effort to stabilize the Empire, Diocletian set up two different imperial courts in the Greek East and Latin West. Christians rose to power in the 4th century following the Edict of Milan in 313 and the Edict of Thessalonica in 380. Shortly after, the Migration Period involving large invasions by Germanic peoples and the Huns of Attila led to the decline of the Western Roman Empire. With the fall of Ravenna to the Germanic Herulians and the deposition of Romulus Augustulus in 476 AD by Odoacer, the Western Roman Empire finally collapsed and it was formally abolished by emperor Zeno in 480 AD. The Eastern Roman Empire, known in the post-Roman West as the Byzantine Empire, collapsed when Constantinople fell to the Ottoman Turks of Mehmed II in 1453.Due to the Roman Empire's vast extent and long endurance, the institutions and culture of Rome had a profound and lasting influence on the development of language, religion, architecture, philosophy, law, and forms of government in the territory it governed, particularly Europe. The Latin language of the Romans evolved into the Romance languages of the medieval and modern world, while Medieval Greek became the language of the Eastern Roman Empire. Its adoption of Christianity led to the formation of Christendom during the Middle Ages. Greek and Roman art had a profound impact on the late medieval Italian Renaissance, while Rome's republican institutions influenced the political development of later republics such as the United States and France. The corpus of Roman law has its descendants in many legal systems of the world today, such as the Napoleonic Code. Rome's architectural tradition served as the basis for Neoclassical architecture."
Q22865,urban district of germany,
Q2297724,Ankara Province,"Ankara Province (Turkish: Ankara ili, pronounced [ˈaŋkaɾa iˈli]) is the capital province of Turkey."
Q230262,plucked stringed instrument,"Plucked string instruments are a subcategory of string instruments that are played by plucking the strings. Plucking is a way of pulling and releasing the string in such a way as to give it an impulse that causes the string to vibrate. Plucking can be done with either a finger or a plectrum.Most plucked string instruments belong to the lute family (such as guitar, bass guitar, mandolin, banjo, balalaika, sitar, pipa, etc.), which generally consist of a resonating body, and a neck; the strings run along the neck and can be stopped at different pitches. The zither family (including the autoharp, kantele, gusli, kannel, kankles, kokles, koto, guqin, gu zheng and many others) does not have a neck, and the strings are stretched across the soundboard. In the harp family (including the lyre), the strings are perpendicular to the soundboard and do not run across it. The harpsichord does not fit any of these categories but is also a plucked string instrument, as its strings are struck with a plectrum when the keys are depressed.Bowed string instruments, such as the violin, can also be plucked in the technique known as pizzicato; however, as they are usually played with a bow, they are not included in this category. Struck string instruments (such as the piano) can be similarly plucked as an extended technique.Plucked string instruments are not a category in the Sachs-Hornbostel classification, as some of them are simple chordophones and others are composite (depending on whether the resonator is the removable part of the instrument). This is possible due to the Lute family"
Q2385804,Types of educational institution,"An educational institution is a place where people of different ages gain an education. Examples of some institutions are preschools, primary schools, secondary schools, and further and higher education. They provide a large variety of learning environments and learning spaces. The institution can be public, private or unconventional.The American Educational System typically divides learning facilities by an age grade system. Students are designated to a grade level based on their age, advancing one grade each year. They are required to learn and do tasks at this level or they will be set back a grade. This designation determines what educational institution would be an appropriate setting for the individual student."
Q240368,haluk levent,"Haluk Levent (born 26 November 1968) is a Turkish rock music singer who helped revive the long forgotten Anatolian Rock genre in 1990s.After graduating from high school, he joined various university programs but he had to quit for economic reasons. He is known for his charity concerts and his environmentalism.Levent moved to Istanbul in 1992. He worked at various bars in Ortaköy until he met with Yildiray Gürgen. He also worked with musicians like Serdar Öztop and Akın Eldes to increase the quality of his albums. In July 1993 he released his first album, Yollarda. Following his first album, his second album Bir Gece Vakti captured a sales figure approaching one million dollars in 1995. Also at the end of 1996, the album went on sale. With this album, the artist signed one of the most successful musical examples of Anatolian rock music. In September 1998, he released the album Yine Ayrılık. Following his military service, he released Kral Çıplak in February 2001, Bir Erkeğin Günlüğü in October 2002, Aç Pencereni in September 2004, and Annemin Türküleri in 2005."
Q2415901,Allied Occupation of Germany,"Upon defeat of Nazi Germany in World War II, the victorious Allies asserted joint authority and sovereignty over 'Germany as a whole', defined as all territories of the former German Reich west of the Oder–Neisse line, having declared the destruction of Nazi Germany at the death of Adolf Hitler (see 1945 Berlin Declaration). The four powers divided 'Germany as a whole' into four occupation zones for administrative purposes, under the United States, United Kingdom, France and the Soviet Union respectively; creating what became collectively known as Allied-occupied Germany (German: Alliierten-besetztes Deutschland). This division was ratified at the Potsdam Conference (17 July to 2 August 1945). The four zones were as agreed in February 1945 by the United States, United Kingdom and Soviet Union meeting at the Yalta Conference; setting aside an earlier division into three zones (excluding France) proposed by the London Protocol.At Potsdam, the United States, United Kingdom and the Soviet Union approved the detachment from 'Germany as a whole' of the German eastern territories east of the Oder–Neisse line; with the exact line of the boundary to be determined at a final German Peace Treaty. This treaty was expected to confirm the ""shifting westward"" of Poland's borders, as the United Kingdom and the United States committed themselves to support in any future peace treaty the permanent incorporation of former eastern German territories into Poland and the Soviet Union. From March 1945 to July 1945, these former eastern territories of Germany had been administered under Soviet military occupation authorities, but following the Potsdam Conference they were handed over to Soviet and Polish civilian administrations and ceased to constitute part of Allied-occupied Germany.In the closing weeks of fighting in Europe, United States forces had pushed beyond the agreed boundaries for the future zones of occupation, in some places by as much as 320 km (200 miles). The so-called line of contact between Soviet and American forces at the end of hostilities, mostly lying eastward of the July 1945-established inner German border, was temporary. After two months in which they had held areas that had been assigned to the Soviet zone, U.S. forces withdrew in the first days of July 1945. Some have concluded that this was a crucial move that persuaded the Soviet Union to allow American, British and French forces into their designated sectors in Berlin, which occurred at roughly the same time (July 1945), although the need for intelligence gathering (see Operation Paperclip) may also have been a factor."
Q248059,Zulfu Livaneli,"Ömer Zülfü Livanelioğlu (born June 20, 1946), better known as Zülfü Livaneli, is a Turkish musician, author,  poet, and politician.Livaneli is known for his novels that interweave diverse social and historical backgrounds, figures, and incidents, such as in Bliss which won the Barnes & Noble's Discovery of Great New Writers Award in 2006, and in his Serenade for Nadia, Leyla's House, and My Brother's Story, which were all translated into 37 languages and won numerous Turkish and International literary awards, and were highly praised by prominent literary critics around the world. His novels have been turned into theatrical films, stage plays, and operas.Livaneli was imprisoned several times during the 1971 Turkish coup d'état because of his political views and had to leave Turkey in 1972 and went on exile. He lived in Stockholm, Paris, Athens, and New York where he met and collaborated with artists and intellectuals such as Elia Kazan, Arthur Miller, James Baldwin, and Peter Ustinov among others. Livaneli returned to Turkey in 1984.His works and cultural and political activities and contributions to world peace were recognized by UNESCO in 1995 when he was appointed Goodwill Ambassador to UNESCO—a post he still holds today. He served a term in the Turkish Parliament as well as in the Council of Europe.Livaneli is a writer as he is as a poet and a songwriter, cultural and political activist. Although he first became known for his contemporary music, Livaneli turned his focus to writing, in the last decades, when he realized that literature was closer to his heart. His first collection of short stories, A Child in Purgatory,  published in 1978 was turned into a movie by Swedish and German TV. He is also a prominent social-democrat politician and was a member of the Turkish parliament for one term. Livaneli's novels have been turned into theatrical movies, stage plays, and operas.Livaneli is known for his contemporary music. His 1997 Ankara concert was attended by no less than 500 thousand people. His collaborations with Mikis Theodorakis of Greece have been noted as a gesture of bringing together the two countries. Livaneli has been a UNESCO Goodwill Ambassador since 1996.Livaneli has composed some three hundred songs, a rhapsody recorded by London Symphony Orchestra–, and a ballet. His compositions have reached cult status nationwide and have been performed by artists such as Joan Baez, Maria Farantouri, María del Mar Bonet, Udo Lindenberg, Haris Alexiou, Jocelyn B. Smith, and Kate Westbrook. He has also written five plays and thirty film soundtracks. Among these soundtracks are the soundtrack for ""Yol"" (The Path), directed by Yilmaz Güney and winner of the Golden Palm in Cannes Film Festival, ""The Herd"", directed by Yılmaz Güney and Zeki Öktem, and ""Shirin's Wedding"" by German director Helma Sanders-Brahms. His recordings have been published in the USA, Sweden, Germany, Holland and France, and he has given dozens of concerts throughout the world. He has produced albums and performed with Mikis Theodorakis and Maria Farantouri, and he has also collaborated with Manos Hatzidakis, Giora Feidman, Inti-Illimani and Ángel Parra. In 2010, he sang 'Mothers of The Disappeared' with Bono at U2's concert in Istanbul, Turkey, which was U2's first-ever concert in Istanbul. Livaneli has been distinguished with the awards Best Album of the Year (Greece), the Edison Award (Holland), and Best Album of the Year (Music Critics Guild of Germany), and the ""Premio Luigi Tenco"" Best Songwriter Award, San Remo, Italy, in 1999, among others."
Q2526255,Film Directors,"A film director is a person who directs the making of a film. A film director controls a film's artistic and dramatic aspects and visualizes the screenplay (or script) while guiding the technical crew and actors in the fulfilment of that vision. The director has a key role in choosing the cast members, production design, and the creative aspects of filmmaking. Under European Union law, the director is viewed as the author of the film.The film director gives direction to the cast and crew and creates an overall vision through which a film eventually becomes realized, or noticed. Directors need to be able to mediate differences in creative visions and stay within the budget.There are many pathways to becoming a film director. Some film directors started as screenwriters, cinematographers, producers, film editors or actors. Other film directors have attended a film school. Directors use different approaches. Some outline a general plotline and let the actors improvise dialogue, while others control every aspect, and demand that the actors and crew follow instructions precisely. Some directors also write their own screenplays or collaborate on screenplays with long-standing writing partners. Some directors edit or appear in their films, or compose the music score for their films."
Q256961,Electoral Bavaria,"The Electorate of Bavaria (German: Kurfürstentum Bayern) was an independent hereditary electorate of the Holy Roman Empire from 1623 to 1806, when it was succeeded by the Kingdom of Bavaria.The Wittelsbach dynasty which ruled the Duchy of Bavaria was the younger branch of the family which also ruled the Electorate of the Palatinate.  The head of the elder branch was one of the seven prince-electors of the Holy Roman Empire according to the Golden Bull of 1356, but Bavaria was excluded from the electoral dignity.  In 1621, the Elector Palatine Frederick V was put under the imperial ban for his role in the Bohemian Revolt against Emperor Ferdinand II, and the electoral dignity and territory of the Upper Palatinate was conferred upon his loyal cousin, Duke Maximilian I of Bavaria.  Although the Peace of Westphalia would create a new electoral title for Frederick V's son, with the exception of a brief period during the War of the Spanish Succession, Maximilian's descendants would continue to hold the original electoral dignity until the extinction of his line in 1777.  At that point the two lines were joined in personal union until the end of the Holy Roman Empire.  In 1805, after the Peace of Pressburg, the then-elector, Maximilian Joseph, raised himself to the dignity of King of Bavaria, and the Holy Roman Empire was abolished the year after."
Q2577883,Occupied territories,
Q262166,communes of germany,"Municipalities (German: Gemeinden, singular Gemeinde) are the lowest level of official territorial division in Germany. This is most commonly the third level of territorial division, ranking after the Land (state) and Kreis (district). The Gemeinde which is one level lower in those states also includes Regierungsbezirke (singular: Regierungsbezirk) as an intermediate territorial division. The Gemeinde is one level higher if it is not part of a Samtgemeinde. Only 10 municipalities in Germany have fifth level administrative subdivisions and all of them are in Bavaria. The highest degree of autonomy may be found in the Gemeinden which are not part of a Kreis. These Gemeinden are referred to as Kreisfreie Städte or Stadtkreise, sometimes translated as having ""city status"". This can be the case even for small municipalities. However, many smaller municipalities have lost this city status in various administrative reforms in the last 40 years when they were incorporated into a Kreis. In some states they retained a higher measure of autonomy than the other municipalities of the Kreis (e.g. Große Kreisstadt). Municipalities titled Stadt (town or city) are urban municipalities while those titled Gemeinde are classified as rural municipalities."
Q2716259,Metropolitan municipalities in Turkey,"There are 81 provinces in Turkey (Turkish: il). Among the 81 provinces, thirty are designated metropolitan municipalities (Turkish: büyükşehir belediyeleri). Metropolitan municipalities are subdivided into districts (Turkish: ilçe), where each district includes a corresponding district municipality, which is a second tier municipality."
Q281206,Province of Osmaniye,"Osmaniye Province (Turkish: Osmaniye ili) is a Turkish province located in southern Turkey. It existed as a province by the name Cebel-i Bereket (meaning ""Fertile Mountain"") in the early republic until 1933, when it was incorporated into Adana Province. It was made a province again in 1996. It covers an area of 3,767 km2 and has a population of 479,221 (2010 est).  The province is situated in Çukurova, a geographical, economical and cultural region.The capital of the province is Osmaniye (Population: 194,000). The next largest towns are Kadirli (Population: 83,618) and Düziçi (Population: 42,000)."
Q28389,screen-writer,"A screenplay writer (also called screenwriter for short), scriptwriter or scenarist is a writer who practices the craft of screenwriting, writing screenplays on which mass media, such as films, television programs and video games, are based."
Q28640,professions,"A profession is an occupation founded upon specialized educational training, the purpose of which is to supply disinterested objective counsel and service to others, for a direct and definite compensation, wholly apart from expectation of other business gain. The term is a truncation of the term ""liberal profession"", which is, in turn, an Anglicization of the French term ""profession libérale"". Originally borrowed by English users in the 19th century, it has been re-borrowed by international users from the late 20th, though the (upper-middle) class overtones of the term do not seem to survive retranslation: ""liberal professions"" are, according to the European Union's Directive on Recognition of Professional Qualifications (2005/36/EC) ""those practiced on the basis of relevant professional qualifications in a personal, responsible and professionally independent capacity by those providing intellectual and conceptual services in the interest of the client and the public"".It has been said that a profession is not a trade and not an industry.Medieval and early modern tradition recognized only three professions: divinity, medicine, and law – the so-called ""learned professions"".Major milestones which may mark an occupation being identified as a profession include:an occupation becomes a full-time occupationthe establishment of a training schoolthe establishment of a university schoolthe establishment of a local associationthe establishment of a national association of professional ethicsthe establishment of state licensing lawsApplying these milestones to the historical sequence of development in the United States shows surveying achieving professional status first (note that George Washington, Thomas Jefferson, and Abraham Lincoln all worked as land surveyors before entering politics), followed by medicine,  actuarial science, law, dentistry, civil engineering, logistics, architecture and accounting.With the rise of technology and occupational specialization in the 19th century, other bodies began to claim professional status: mechanical engineering, pharmacy, veterinary medicine, psychology, nursing, teaching, librarianship, optometry and social work, each of which could claim, using these milestones, to have become professions by 1900.Just as some professions rise in status and power through various stages, others may decline. Disciplines formalized more recently, such as architecture, now have equally long periods of study associated with them.Although professions may enjoy relatively high status and public prestige, not all professionals earn high salaries, and even within specific professions there exist significant inequalities of compensation; in law, for example, a corporate/insurance defense lawyer working on a billable-hour basis may earn several times what a prosecutor or public defender earns."
Q2916486,Subdivisions of Turkey,"Turkey has a unitary structure in terms of administration and this aspect is one of the most important factors shaping the Turkish public administration. When three powers (executive, legislative and judiciary) are taken into account as the main functions of the state, local administrations have little power. Turkey is a unitary not a federal system, and the provinces are subordinated to the centre. Local administrations were established to provide services in place and the government is represented by the governors and city governors. Besides the governors and the city governors, other senior public officials are also appointed by the central government rather than appointed by mayors or elected by constituents.Within this unitary framework, Turkey is subdivided into 81 provinces for administrative purposes. Each province is divided into districts, for a total of 923 districts. Turkey is also subdivided into 7 regions and 21 subregions for geographic, demographic and economic purposes; this does not refer to an administrative division.The largely centralized structure of decision-making in Ankara is often considered an impediment to good governance, and causes resentment in particular in ethnic minority regions. Steps towards decentralization since 2004 have proved to be a highly controversial topic in Turkey. Turkey is obligated under the European Charter of Local Self-Government to decentralize its administrative structure. A decentralization program for Turkey is an ongoing discussion in the country's academics, politics and the broader public.Turkey is subdivided in a hierarchical manner to subdivisions;ProvincesDistrictsBelde (semi-rural)Villages (rural)Neighbourhoods (urban)"
Q3320743,Titles of Honour,
Q334814,ümit besen,"Ümit Besen (born 14 October 1956) represents the darker side of Tarabya school of electronic music. He started his professional career with playing keyboards and singing with his band at the local clubs in Adana, Southern Turkey. While he was in the army for his obligatory service a brigadier-general (Brigadier in Commonwealth armies) liked his style and appointed him with the task of singing at the officers tavern."
Q33999,Television actor,"An actor is a person who portrays a character in a performance (also actress; see below). The actor performs ""in the flesh"" in the traditional medium of the theatre or in modern media such as film, radio, and television. The analogous Greek term is ὑποκριτής (hupokritḗs), literally ""one who answers"". The actor's interpretation of their role—the art of acting—pertains to the role played, whether based on a real person or fictional character. Interpretation occurs even when the actor is ""playing themselves"", as in some forms of experimental performance art.Formerly, in ancient Greece and Rome, the medieval world, and the time of William Shakespeare, only men could become actors, and women's roles were generally played by men or boys.  After the English Restoration of 1660, women began to appear on stage in England. In modern times, particularly in pantomime and some operas, women occasionally play the roles of boys or young men."
Q343693,İlhan Usmanbaş,"İlhan Usmanbaş (born 28 September 1921) is a Turkish composer.Born in Istanbul, Usmanbaş grew up in Ayvalık. When he was twelve years old, his elder brother gave him a cello, and began to teach himself to play.  After moving back to Istanbul, he studied the cello seriously. His maths teacher, a lover of music, advised Usmanbaş to give up the career that he had planned for himself: ""We have enough engineers in Turkey.  You should be a composer instead.""After graduating from Galatasaray High School, Usmanbaş went on to study under members of the Turkish Five – Cemal Reşit Rey, Ahmet Adnan Saygun, Hasan Ferit Alnar, Ulvi Cemal Erkin, and Necil Kazım Akses – and David Zirkin, at Ankara State Conservatory.In 1952, he went to the United States on a UNESCO scholarship, where he came under the influence of American pioneers of new and experimental music. In 1955 he received a FROMM Music Award, in 1971 he became a State Artist; in 1993 he received a gold medal from the Sevda Cenap And Foundation, in 2000 Boğaziçi University awarded him an honorary doctorate, and in 2004 he was presented with a Lifetime Achievement Award at the 32nd Istanbul International Music Festival, he is professor of Music at Istanbul Bilgi University.Usmanbaş is an experimental composer, one of the second generation of Turkish composers, coming after the Five (and opposed to their ideas). He works with a freedom of form and a concentration on intensity rather than melody, with techniques that include neo-classicism, aleatoric music, twelve tone, serialism, and minimalism.He has composed nearly 120 works, and has won more foreign awards and citations than any other Turkish composer, including commissions from the Koussevitzky foundation in the United States, and prizes from the Wieniawski competition in Poland, the International Composers Tribune in Paris, and the International Competition for Ballet Music in Switzerland.Usmanbaş is married to opera singer Atıfet Usmanbaş."
